================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,246 commercial trades   proven=821  inferred=160  unknown=265
  by method: courier=821  unresolved=265  sector=76  delivery=59  visit=25
  (also 25 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                             Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  6h 43m  Demeter Vanguard [TKZ-886]       Out Refined Metals       564   207.00     116,748  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  6h 49m  TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     838   183.85     154,066  —                                       [?] unknown
  6h 51m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  6h 54m  Mercury Sentinel [VWB-834]       Out Energy Cells       1,044    18.45      19,262  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  7h 00m  Osprey Vanguard [GBS-045]        Out Energy Cells       1,250    18.77      23,462  TEL Microchip Factory II (ZZA-122)      [v] proven (courier)
  7h 01m  Demeter Vanguard [BJO-906]       In  Advanced Electro      50  1318.00      65,900  TEL Claytronics Factory I (ESL-724)     [~] infer (delivery)
  7h 02m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  7h 08m  Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   173.98      37,406  ARG Hull Part Factory III (OPO-874)     [~] infer (delivery)
  7h 10m  Tern Sentinel [BFM-940]          Out Energy Cells       6,122    17.27     105,727  MIN Woodworm Scrubs (XAW-452)           [v] proven (courier)
  7h 12m  Mercury Sentinel [VWB-834]       Out Energy Cells       1,214    19.64      23,843  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  7h 13m  Ides Vanguard [WNP-362]          Out Energy Cells         850    19.00      16,150  TEL Microchip Factory V (MAK-744)       [v] proven (courier)
  7h 14m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,869    19.51      36,464  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  7h 17m  Demeter Vanguard [TKZ-886]       Out Refined Metals       564   207.00     116,748  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  7h 19m  Osprey Vanguard [GBS-045]        Out Energy Cells       1,360    20.17      27,431  TEL Hull Part Factory II (XTQ-699)      [v] proven (courier)
  7h 23m  Vulture Vanguard [FKP-127]       Out Energy Cells      12,080    16.22     195,938  —                                       [?] unknown
  7h 24m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  7h 28m  Tern Sentinel [OEM-509]          Out Antimatter Cells     755   175.59     132,570  TEL Plasma Conductor Factory II (FZM-7  [~] infer (delivery)
  7h 28m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,280    21.61      27,661  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  7h 35m  Ides Vanguard [WNP-362]          Out Energy Cells       2,250    16.57      37,282  TEL Teladianium Foundry I (TQZ-067)     [v] proven (courier)
  7h 35m  Osprey Vanguard [GBS-045]        Out Energy Cells       1,080    17.85      19,278  TEL Field Coil Factory I (CBN-007)      [v] proven (courier)
  7h 36m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  7h 37m  Mercury Sentinel [VWB-834]       Out Energy Cells       2,602    16.59      43,167  TEL Nostrop Oil Factory I (SUA-021)     [v] proven (courier)
  7h 41m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   207.00      57,132  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  7h 44m  Ides Vanguard [WNP-362]          Out Energy Cells         420    17.82       7,484  TEL Turret Component Factory I (FVH-52  [v] proven (courier)
  7h 47m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  7h 49m  Mercury Sentinel [VWB-834]       Out Refined Metals       702   209.24     146,886  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  7h 53m  Demeter Vanguard [TKZ-886]       Out Refined Metals       564   207.00     116,748  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  7h 55m  [0x8f64]                         Out Antimatter Cells     755   185.02     139,690  —                                       [?] unknown
  7h 55m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   205.76      56,790  ANT Hull Part Factory II (XCV-961)      [v] proven (courier)
  7h 55m  Ides Vanguard [WNP-362]          Out Energy Cells         795    19.66      15,630  TEL Advanced Electronics Factory I (CY  [v] proven (courier)
  7h 55m  Osprey Vanguard [GBS-045]        Out Energy Cells       2,102    19.23      40,421  TEL Scanning Array Factory I (STG-922)  [v] proven (courier)
  8h 00m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  8h 05m  Sunder (Gas) Sentinel [FCT-889]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  8h 06m  Ides Vanguard [WNP-362]          Out Energy Cells       1,760    19.00      33,440  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  8h 06m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   207.00      57,132  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  8h 08m  Tern Sentinel [BFM-940]          Out Refined Metals       971   196.43     190,734  ANT Hull Part Factory II (XCV-961)      [v] proven (courier)
  8h 09m  Mercury Sentinel [VWB-834]       Out Energy Cells         566    21.07      11,926  ANT Drone Component Factory I (YAE-096  [v] proven (courier)
  8h 11m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  8h 19m  Sunder (Gas) Sentinel [FCT-889]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  8h 21m  Osprey Vanguard [GBS-045]        Out Refined Metals       173   227.70      39,392  ARG Hull Part Factory II (HDW-562)      [v] proven (courier)
  8h 22m  Magpie Sentinel [LSS-543]        Out Energy Cells         660    21.38      14,111  ARG Weapon Component Factory I (MMV-07  [v] proven (courier)
  8h 22m  Ides Vanguard [WNP-362]          Out Energy Cells         761    22.00      16,742  TEL Drone Component Factory I (OTC-195  [v] proven (courier)
  8h 28m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  8h 32m  Demeter Vanguard [TKZ-886]       Out Refined Metals       564   202.30     114,097  ANT Hull Part Factory III (VKD-147)     [v] proven (courier)
  8h 34m  Mercury Sentinel [VWB-834]       Out Refined Metals       702   207.00     145,314  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  8h 35m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   207.00      57,132  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  8h 37m  Ides Vanguard [WNP-362]          Out Refined Metals       528   207.00     109,296  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  8h 40m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  8h 42m  TEL Vulture Sentinel [FXA-416]   Out Energy Cells      14,221    19.15     272,332  —                                       [?] unknown
  8h 48m  Osprey Vanguard [GBS-045]        Out Energy Cells         600    17.66      10,596  TEL Advanced Electronics Factory I (PI  [v] proven (courier)
  8h 49m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,440    17.31      24,926  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  8h 49m  Mercury Sentinel [VWB-834]       Out Energy Cells         800    17.81      14,248  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  8h 50m  Vulture Vanguard [FKP-127]       Out Energy Cells       6,980    16.95     118,311  —                                       [?] unknown
  8h 50m  Sunder (Gas) Sentinel [FCT-889]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  8h 52m  Tern Vanguard [VVQ-622]          In  Advanced Composi      25   648.00      16,200  TEL (MTO-545)                           [~] infer (delivery)
  8h 54m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  8h 54m  Ides Vanguard [WNP-362]          Out Energy Cells       1,546    17.72      27,395  TEL Smart Chip Factory I (OKL-153)      [v] proven (courier)
  8h 55m  Demeter Vanguard [TKZ-886]       Out Energy Cells         960    17.42      16,723  TEL Hull Part Factory I (HNB-704)       [v] proven (courier)
  8h 55m  TEL Tern Vanguard [EXQ-203]      Out Antimatter Cells     604   203.07     122,654  —                                       [?] unknown
  9h 00m  TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     838   202.62     169,796  —                                       [?] unknown
  9h 03m  Osprey Vanguard [GBS-045]        Out Energy Cells       1,260    18.09      22,793  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  9h 04m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   208.52      57,552  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  9h 05m  Vulture Sentinel [BDB-845]       Out Energy Cells       5,847    16.20      94,721  TEL Ice Refinery I (YIS-514)            [~] infer (delivery)
  9h 05m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  9h 06m  Ides Vanguard [WNP-362]          Out Energy Cells       3,100    17.76      55,056  TEL Nostrop Oil Factory I (AWA-247)     [v] proven (courier)
  9h 07m  Mercury Sentinel [VWB-834]       Out Energy Cells       2,880    18.13      52,214  TEL Teladianium Foundry I (TQZ-067)     [v] proven (courier)
  9h 09m  Demeter Vanguard [TKZ-886]       Out Energy Cells       2,940    17.79      52,303  TEL Helium Refinery I (HHG-108)         [v] proven (courier)
  9h 15m  [0x8f64]                         Out Antimatter Cells     755   205.13     154,873  —                                       [?] unknown
  9h 16m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  9h 16m  PAR Hermes Vanguard [RAK-887]    In  Plasma Conductor      54  1282.00      69,228  —                                       [?] unknown
  9h 19m  Osprey Vanguard [GBS-045]        Out Energy Cells         248    19.00       4,712  ANT Argon Defence Platform (NSY-680)    [v] proven (courier)
  9h 25m  Mercury Sentinel [VWB-834]       Out Refined Metals       702   197.09     138,357  ANT Hull Part Factory II (XCV-961)      [v] proven (courier)
  9h 28m  Ides Vanguard [WNP-362]          Out Energy Cells       1,957    19.55      38,259  TEL Hull Part Factory II (JSP-571)      [v] proven (courier)
  9h 30m  Magpie Sentinel [LSS-543]        Out Energy Cells         942    19.78      18,633  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  9h 38m  Tern Sentinel [BFM-940]          Out Refined Metals       971   204.50     198,570  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  9h 39m  Demeter Vanguard [TKZ-886]       Out Energy Cells       4,144    20.36      84,372  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  9h 43m  Ides Vanguard [WNP-362]          Out Energy Cells       2,400    21.90      52,560  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  9h 44m  Mercury Sentinel [VWB-834]       Out Energy Cells       3,120    19.53      60,934  ARG Antimatter Converter Factory I (CB  [v] proven (courier)
  9h 45m  Osprey Vanguard [GBS-045]        Out Refined Metals       173   227.70      39,392  HAT High Tech Factory II (ZQX-238)      [v] proven (courier)
  9h 51m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  9h 52m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   201.95      55,738  ANT Hull Part Factory III (VKD-147)     [v] proven (courier)
  9h 56m  [0x8f64]                         Out Antimatter Cells     755   215.06     162,370  —                                       [?] unknown
  10h 02m Mercury Sentinel [VWB-834]       Out Energy Cells       4,394    20.07      88,188  TEL Silicon Refinery I (CMS-038)        [v] proven (courier)
  10h 05m Magpie Sentinel [LSS-543]        Out Refined Metals       276   206.41      56,969  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  10h 06m Sunder (Gas) Sentinel [FCT-889]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  10h 06m TEL Vulture Sentinel [PJE-887]   Out Energy Cells      15,100    16.22     244,922  —                                       [?] unknown
  10h 10m Demeter Vanguard [TKZ-886]       Out Energy Cells         480    21.51      10,325  ARG Drone Component Factory I (STJ-266  [v] proven (courier)
  10h 12m Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  10h 13m Osprey Vanguard [GBS-045]        Out Refined Metals       173   205.49      35,550  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  10h 21m Sunder (Gas) Sentinel [FCT-889]  Out Hydrogen           1,280    50.05      64,064  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  10h 21m Magpie Sentinel [LSS-543]        Out Energy Cells       1,350    18.76      25,326  TEL Plasma Conductor Factory I (ULE-39  [v] proven (courier)
  10h 22m Mercury Sentinel [VWB-834]       Out Refined Metals       702   206.42     144,907  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  10h 29m TEL Vulture Vanguard [TUM-917]   Out Energy Cells       4,820    16.07      77,457  —                                       [?] unknown
  10h 31m Demeter Vanguard [TKZ-886]       Out Energy Cells         840    16.14      13,558  TEL Field Coil Factory I (CBN-007)      [v] proven (courier)
  10h 34m Sunder (Gas) Sentinel [FCT-889]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  10h 34m Osprey Vanguard [GBS-045]        Out Energy Cells       1,280    16.42      21,018  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  10h 34m Magpie Sentinel [LSS-543]        Out Energy Cells       3,167    16.05      50,830  TEL Medical Supply Factory II (AXJ-314  [v] proven (courier)
  10h 45m Demeter Vanguard [TKZ-886]       Out Energy Cells         480    18.10       8,688  TEL Advanced Electronics Factory I (PI  [v] proven (courier)
  10h 46m Magpie Sentinel [LSS-543]        Out Energy Cells       1,985    19.10      37,914  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  10h 46m TEL Tern Vanguard [JIP-779]      Out Energy Cells       2,470    15.96      39,421  —                                       [?] unknown
  10h 51m Osprey Vanguard [GBS-045]        Out Energy Cells       2,133    18.27      38,970  TEL Scanning Array Factory I (XXR-298)  [v] proven (courier)
  10h 54m Sunder (Gas) Sentinel [FCT-889]  Out Hydrogen             960    50.00      48,000  PAR Antimatter Cell Factory I (YJM-043  [v] proven (courier)
  10h 56m TEL Vulture Vanguard [TUM-917]   Out Energy Cells       6,400    15.14      96,896  —                                       [?] unknown
  11h 00m Magpie Sentinel [LSS-543]        Out Refined Metals       276   207.00      57,132  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  11h 07m Tern Sentinel [BFM-940]          Out Refined Metals       971   206.36     200,376  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
